what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.reconciler.dropins",1295837362185
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1295837362201
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,1.0.101.R35x_20090820-1821,"org.eclipse.equinox.p2.touchpoint.eclipse",1295837362217
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1295837362218
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20090520-1905,"org.eclipse.equinox.p2.updatechecker",1295837362218
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1295837362238
started,bundle,org.eclipse.equinox.registry,3.4.100.v20090520-1800,"org.eclipse.equinox.registry",1295837362258
started,bundle,org.eclipse.equinox.security,1.0.100.v20090520-1800,"org.eclipse.equinox.security",1295837362259
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1295837362259
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1295837362276
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1295837362295
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1295837362311
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1295837362311
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1295837362339
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1295837362359
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1295837362359
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1295837362360
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1295837362361
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1295837362361
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1295837362374
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1295837362374
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1295837362375
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1295837362376
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1295837362377
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1295837362377
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1295837362378
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1295837362379
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1295837362394
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1295837362395
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1295837362396
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1295837362397
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1295837362398
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1295837362398
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1295837362399
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1295837362400
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1295837362401
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1295837362401
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1295837362402
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1295837362402
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1295837362420
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1295837362421
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1295837362421
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1295837362446
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1295837362461
os,sysinfo,,,"win32",1295837362464
arch,sysinfo,,,"x86",1295837362464
ws,sysinfo,,,"win32",1295837362464
locale,sysinfo,,,"en_US",1295837362464
processors,sysinfo,,,"2",1295837362464
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1295837362464
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1295837362464
java.specification.name,sysinfo,,,"Java Platform API Specification",1295837362464
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295837362464
java.specification.version,sysinfo,,,"1.6",1295837362464
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1295837362464
java.version,sysinfo,,,"1.6.0_23",1295837362464
java.vm.info,sysinfo,,,"mixed mode, sharing",1295837362464
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1295837362464
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295837362464
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295837362464
java.vm.specification.version,sysinfo,,,"1.0",1295837362464
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1295837362464
java.vm.version,sysinfo,,,"19.0-b09",1295837362464
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1295837365187
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1295837365214
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1295837365345
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1295837376571
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1295837388148
